datetime,low,high,open,close,volumefrom,volumeto
2018-11-08,6391.99,6511.88,6503.12,6406.25,4929.29,31768725.31
2018-11-09,6309.45,6415.0,6406.25,6334.89,4377.42,27842689.28
2018-11-10,6327.46,6374.0,6334.89,6347.42,2366.56,15041644.97
2018-11-11,6271.15,6360.0,6347.42,6357.6,2262.05,14319132.69
2018-11-12,6305.95,6383.59,6357.6,6327.86,3498.83,22197659.45
2018-11-13,6252.5,6328.22,6327.86,6259.35,4465.43,28083621.57
2018-11-14,5281.01,6293.38,6259.35,5605.46,28948.74,165304900.05
2018-11-15,5190.0,5645.0,5605.46,5579.52,20850.3,114060256.02
2018-11-16,5410.0,5609.91,5579.52,5512.24,8839.08,48837088.75
2018-11-17,5450.84,5544.0,5512.24,5504.17,4672.7,25633309.6
2018-11-18,5503.34,5665.0,5504.17,5560.0,4599.14,25514015.42
2018-11-19,4670.63,5560.0,5560.0,4733.5,36133.96,183124118.76
2018-11-20,4035.0,4889.0,4733.5,4349.23,61797.01,275875686.16
2018-11-21,4239.01,4627.55,4349.23,4545.11,27423.73,121800475.32
2018-11-22,4238.69,4589.0,4545.11,4263.66,12107.2,53839728.96
2018-11-23,4086.16,4366.05,4263.66,4283.8,18389.56,77685278.7
2018-11-24,3650.84,4370.78,4283.8,3774.99,20501.98,81745237.63
2018-11-25,3457.81,4120.0,3774.99,3936.69,36576.28,137761165.11
2018-11-26,3510.0,4076.25,3936.69,3731.32,34144.92,128945499.1
2018-11-27,3562.9,3830.0,3731.32,3775.0,22536.15,83514577.38
2018-11-28,3775.0,4365.0,3775.0,4225.03,34203.59,140103162.28
2018-11-29,4078.21,4410.52,4225.03,4248.0,19053.48,80634972.42
2018-11-30,3869.0,4297.71,4248.0,3976.0,18404.35,74405219.79
2018-12-01,3910.08,4275.42,3976.0,4142.01,9685.27,39839244.19
2018-12-02,4036.0,4263.77,4142.01,4103.19,10461.93,43216163.42
2018-12-03,3741.95,4119.98,4103.19,3833.47,15624.16,60988995.33
2018-12-04,3732.43,4035.1,3833.47,3901.84,15556.85,60561979.03
2018-12-05,3660.0,3912.53,3901.84,3694.39,14074.46,53225016.59
2018-12-06,3401.0,3849.0,3694.39,3433.26,26157.21,95403129.31
2018-12-07,3212.0,3544.99,3433.26,3380.01,34994.71,117571739.62
2018-12-08,3253.66,3495.0,3380.01,3401.0,13145.57,44474430.73
2018-12-09,3373.52,3642.51,3401.0,3531.18,11241.81,39534414.79
2018-12-10,3354.97,3590.71,3531.18,3410.15,12950.67,44649594.52
2018-12-11,3293.49,3424.92,3410.15,3349.36,10794.82,36276377.54
2018-12-12,3325.58,3486.16,3349.36,3430.24,10238.1,34894094.7
2018-12-13,3227.96,3439.63,3430.24,3265.0,13289.12,44246274.75
2018-12-14,3135.0,3294.9,3265.0,3195.71,13684.44,44008088.91
2018-12-15,3130.0,3228.69,3195.71,3183.0,9032.11,28655379.18
2018-12-16,3181.24,3258.0,3183.0,3195.0,6960.21,22400415.44
2018-12-17,3184.28,3585.95,3195.0,3496.82,20649.01,70639362.06
2018-12-18,3436.5,3688.0,3496.82,3667.77,16101.1,56933990.4
2018-12-19,3642.17,3928.15,3667.77,3682.51,27118.36,101817752.87
2018-12-20,3661.5,4175.0,3682.51,4075.34,28862.88,114890624.61
2018-12-21,3775.0,4162.27,4075.34,3839.06,21880.53,86954689.31
2018-12-22,3790.16,4005.0,3839.06,3980.46,9641.35,37325618.06
2018-12-23,3904.87,4050.0,3980.46,3944.93,9760.55,38817919.58
2018-12-24,3944.92,4239.37,3944.93,4034.0,18459.12,76089211.12
2018-12-25,3676.15,4045.41,4034.0,3780.0,11888.87,45000432.16
2018-12-26,3685.02,3849.2,3780.0,3809.88,8763.53,33042372.79
2018-12-27,3567.0,3841.21,3809.88,3589.89,12383.47,45731632.17
2018-12-28,3576.12,3971.58,3589.89,3888.06,15655.27,59270515.49
2018-12-29,3706.0,3944.33,3888.06,3729.31,8888.81,34339865.94
2018-12-30,3691.01,3863.06,3729.31,3829.0,8281.34,31410502.18
2018-12-31,3625.84,3835.4,3829.0,3691.86,11743.89,43908768.84
2019-01-01,3651.02,3841.17,3691.86,3826.09,10364.91,38462527.75
2019-01-02,3770.07,3916.57,3826.09,3890.79,9536.46,36593653.4
2019-01-03,3758.07,3893.8,3890.79,3787.57,8715.63,33354904.32
2019-01-04,3730.0,3849.0,3787.57,3820.25,8951.89,33883543.98
2019-01-05,3775.0,3874.12,3820.25,3798.62,6205.09,23788949.1
2019-01-06,3756.01,4088.0,3798.62,4040.99,8949.92,35451351.39
2019-01-07,3968.79,4070.0,4040.99,4006.01,9408.71,37822045.68
2019-01-08,3945.0,4114.8,4006.01,3993.86,12850.61,51608355.86
2019-01-09,3962.12,4042.2,3993.86,4004.12,10180.99,40806556.14
2019-01-10,3560.0,4035.21,4004.12,3626.12,18967.77,71162282.34
2019-01-11,3576.09,3699.26,3626.12,3635.69,13866.3,50456331.51
2019-01-12,3557.29,3649.18,3635.69,3619.41,5418.47,19639259.73
2019-01-13,3482.0,3641.86,3619.41,3514.24,7072.38,25092340.55
2019-01-14,3509.24,3711.1,3514.24,3664.19,10607.81,38411565.21
2019-01-15,3540.0,3684.38,3664.19,3580.76,10048.6,36429393.35
2019-01-16,3572.52,3666.73,3580.76,3609.71,8531.11,30758589.69
2019-01-17,3541.29,3657.0,3609.71,3640.65,8526.63,30758678.41
2019-01-18,3580.16,3643.69,3640.65,3607.85,5741.49,20744958.32
